設置點,Hour,populartimes_count
天人菊名產店,15,52
天人菊名產店,16,60
天人菊名產店,17,82
天人菊名產店,18,69
天人菊名產店,19,69
天人菊名產店,20,47
天人菊名產店,21,34
天人菊名產店,22,0
天人菊名產店,23,0
天津蔥抓餅,0,0
天津蔥抓餅,1,0
天津蔥抓餅,2,0
天津蔥抓餅,3,0
天津蔥抓餅,4,0
天津蔥抓餅,5,0
天津蔥抓餅,6,0
天津蔥抓餅,7,0
天津蔥抓餅,8,16
天津蔥抓餅,9,28
天津蔥抓餅,10,46
天津蔥抓餅,11,58
天津蔥抓餅,12,69
天津蔥抓餅,13,73
天津蔥抓餅,14,75
天津蔥抓餅,15,74
天津蔥抓餅,16,75
天津蔥抓餅,17,81
天津蔥抓餅,18,87
天津蔥抓餅,19,82
天津蔥抓餅,20,66
天津蔥抓餅,21,42
天津蔥抓餅,22,0
天津蔥抓餅,23,0
好吃的黑糖糕就在水月堂食品行～,0,0
好吃的黑糖糕就在水月堂食品行～,1,0
好吃的黑糖糕就在水月堂食品行～,2,0
好吃的黑糖糕就在水月堂食品行～,3,0
好吃的黑糖糕就在水月堂食品行～,4,0
好吃的黑糖糕就在水月堂食品行～,5,0
好吃的黑糖糕就在水月堂食品行～,6,0
好吃的黑糖糕就在水月堂食品行～,7,36
好吃的黑糖糕就在水月堂食品行～,8,42
好吃的黑糖糕就在水月堂食品行～,9,63
好吃的黑糖糕就在水月堂食品行～,10,57
好吃的黑糖糕就在水月堂食品行～,11,42
好吃的黑糖糕就在水月堂食品行～,12,31
好吃的黑糖糕就在水月堂食品行～,13,10
好吃的黑糖糕就在水月堂食品行～,14,21
好吃的黑糖糕就在水月堂食品行～,15,21
好吃的黑糖糕就在水月堂食品行～,16,36
好吃的黑糖糕就在水月堂食品行～,17,36
好吃的黑糖糕就在水月堂食品行～,18,36
好吃的黑糖糕就在水月堂食品行～,19,31
好吃的黑糖糕就在水月堂食品行～,20,26
好吃的黑糖糕就在水月堂食品行～,21,0
好吃的黑糖糕就在水月堂食品行～,22,0
好吃的黑糖糕就在水月堂食品行～,23,0
媽宮食品工廠,0,0
媽宮食品工廠,1,0
媽宮食品工廠,2,0
媽宮食品工廠,3,0
媽宮食品工廠,4,0
媽宮食品工廠,5,0
媽宮食品工廠,6,0
媽宮食品工廠,7,0
媽宮食品工廠,8,26
媽宮食品工廠,9,32
媽宮食品工廠,10,34
媽宮食品工廠,11,32
媽宮食品工廠,12,31
媽宮食品工廠,13,38
媽宮食品工廠,14,55
媽宮食品工廠,15,78
媽宮食品工廠,16,88
媽宮食品工廠,17,0
媽宮食品工廠,18,0
媽宮食品工廠,19,0
媽宮食品工廠,20,0
媽宮食品工廠,21,0
媽宮食品工廠,22,0
媽宮食品工廠,23,0
家竹黑砂糖冷熱飲店,0,0
家竹黑砂糖冷熱飲店,1,0
家竹黑砂糖冷熱飲店,2,0
家竹黑砂糖冷熱飲店,3,0
家竹黑砂糖冷熱飲店,4,0
家竹黑砂糖冷熱飲店,5,0
家竹黑砂糖冷熱飲店,6,0
家竹黑砂糖冷熱飲店,7,0
家竹黑砂糖冷熱飲店,8,0
家竹黑砂糖冷熱飲店,9,0
家竹黑砂糖冷熱飲店,10,0
家竹黑砂糖冷熱飲店,11,0
家竹黑砂糖冷熱飲店,12,0
家竹黑砂糖冷熱飲店,13,27
家竹黑砂糖冷熱飲店,14,44
家竹黑砂糖冷熱飲店,15,61
家竹黑砂糖冷熱飲店,16,68
家竹黑砂糖冷熱飲店,17,67
家竹黑砂糖冷熱飲店,18,62
家竹黑砂糖冷熱飲店,19,56
家竹黑砂糖冷熱飲店,20,55
家竹黑砂糖冷熱飲店,21,45
家竹黑砂糖冷熱飲店,22,28
家竹黑砂糖冷熱飲店,23,0
小和食光輕食館,0,0
小和食光輕食館,1,0
小和食光輕食館,2,0
小和食光輕食館,3,0
小和食光輕食館,4,0
小和食光輕食館,5,0
小和食光輕食館,6,0
小和食光輕食館,7,0
小和食光輕食館,8,0
小和食光輕食館,9,50
小和食光輕食館,10,75
小和食光輕食館,11,85
小和食光輕食館,12,92
小和食光輕食館,13,85
小和食光輕食館,14,82
小和食光輕食館,15,60
小和食光輕食館,16,39
小和食光輕食館,17,28
小和食光輕食館,18,35
小和食光輕食館,19,35
小和食光輕食館,20,28
小和食光輕食館,21,0
小和食光輕食館,22,0
小和食光輕食館,23,0
小門鯨魚洞站,0,50
小門鯨魚洞站,1,27
小門鯨魚洞站,2,27
小門鯨魚洞站,3,27
小門鯨魚洞站,4,33
小門鯨魚洞站,5,33
小門鯨魚洞站,6,44
小門鯨魚洞站,7,44
小門鯨魚洞站,8,55
小門鯨魚洞站,9,38
小門鯨魚洞站,10,33
小門鯨魚洞站,11,22
小門鯨魚洞站,12,27
小門鯨魚洞站,13,55
小門鯨魚洞站,14,55
小門鯨魚洞站,15,77
小門鯨魚洞站,16,66
小門鯨魚洞站,17,77
小門鯨魚洞站,18,72
小門鯨魚洞站,19,72
小門鯨魚洞站,20,66
小門鯨魚洞站,21,83
小門鯨魚洞站,22,100
小門鯨魚洞站,23,66
巴適麻辣鍋,0,0
巴適麻辣鍋,1,0
巴適麻辣鍋,2,0
巴適麻辣鍋,3,0
巴適麻辣鍋,4,0
巴適麻辣鍋,5,0
巴適麻辣鍋,6,0
巴適麻辣鍋,7,0
巴適麻辣鍋,8,0
巴適麻辣鍋,9,0
巴適麻辣鍋,10,0
巴適麻辣鍋,11,35
巴適麻辣鍋,12,41
巴適麻辣鍋,13,46
巴適麻辣鍋,14,33
巴適麻辣鍋,15,33
巴適麻辣鍋,16,28
巴適麻辣鍋,17,41
巴適麻辣鍋,18,57
巴適麻辣鍋,19,66
巴適麻辣鍋,20,60
巴適麻辣鍋,21,41
巴適麻辣鍋,22,0
巴適麻辣鍋,23,0
弗洛伊得飲酒店,0,47
弗洛伊得飲酒店,1,30
弗洛伊得飲酒店,2,16
弗洛伊得飲酒店,3,0
弗洛伊得飲酒店,4,0
弗洛伊得飲酒店,5,0
弗洛伊得飲酒店,6,0
弗洛伊得飲酒店,7,0
弗洛伊得飲酒店,8,0
弗洛伊得飲酒店,9,0
弗洛伊得飲酒店,10,0
弗洛伊得飲酒店,11,0
弗洛伊得飲酒店,12,0
弗洛伊得飲酒店,13,0
弗洛伊得飲酒店,14,0
弗洛伊得飲酒店,15,0
弗洛伊得飲酒店,16,0
弗洛伊得飲酒店,17,0
弗洛伊得飲酒店,18,19
弗洛伊得飲酒店,19,25
弗洛伊得飲酒店,20,33
弗洛伊得飲酒店,21,58
弗洛伊得飲酒店,22,69
弗洛伊得飲酒店,23,72
抓包．馬公分店,0,0
抓包．馬公分店,1,0
抓包．馬公分店,2,0
抓包．馬公分店,3,0
抓包．馬公分店,4,0
抓包．馬公分店,5,0
抓包．馬公分店,6,0
抓包．馬公分店,7,0
抓包．馬公分店,8,0
抓包．馬公分店,9,0
抓包．馬公分店,10,0
抓包．馬公分店,11,52
抓包．馬公分店,12,56
抓包．馬公分店,13,39
抓包．馬公分店,14,30
抓包．馬公分店,15,36
抓包．馬公分店,16,45
抓包．馬公分店,17,45
抓包．馬公分店,18,28
抓包．馬公分店,19,0
抓包．馬公分店,20,0
抓包．馬公分店,21,0
抓包．馬公分店,22,0
抓包．馬公分店,23,0
振發食品行,0,0
振發食品行,1,0
振發食品行,2,0
振發食品行,3,0
振發食品行,4,0
